CODIGO_PRODUTO,GIRO_MEDIO_DIAS,TOTAL_ENTRADAS,GIRO_MEDIO_MESES,CLASSIFICACAO_GIRO,2023,2024,2025,2026,TENDENCIA,TENDENCIA_PERC
CM000185,150.0,2,5.0,BAIXO,0.0,0.0,1.5833333333333333,0.0,1.5833333333333333,1.5833333333333333
CM000341,84.5,13,2.816666666666667,MEDIO,15.416666666666666,8.333333333333334,8.75,0.0,-6.666666666666666,-0.4324324324324324
CM000355,145.57142857142858,8,4.852380952380953,BAIXO,6.333333333333333,8.333333333333334,17.5,0.0,11.166666666666668,1.7631578947368425
CM000377,122.0,6,4.066666666666666,BAIXO,137.5,66.66666666666667,0.0,0.0,-137.5,-1.0
CM000387,82.75,5,2.7583333333333333,MEDIO,0.9166666666666666,0.8333333333333334,0.0,0.0,-0.9166666666666666,-1.0
CM000388,43.0,2,1.4333333333333333,ALTO,0.0,7.5,0.0,0.0,0.0,0.0
CM000428,74.0,2,2.466666666666667,MEDIO,0.0,1.0,0.0,0.0,0.0,0.0
CM000436,37.8,11,1.26,ALTO,0.0,2.8333333333333335,0.5,0.0,0.5,0.5
CM000437,67.2,16,2.24,MEDIO,20.0,22.0,17.5,0.0,-2.5,-0.125
CM000444,119.71428571428571,8,3.99047619047619,BAIXO,4.75,3.3333333333333335,10.833333333333334,0.0,6.083333333333334,1.2807017543859651
CM000478,102.33333333333333,4,3.411111111111111,BAIXO,0.0,2.5,6.25,0.0,6.25,6.25
CM000608,77.75,5,2.591666666666667,MEDIO,14.0,2.0,0.0,0.0,-14.0,-1.0
CM000630,111.14285714285714,8,3.7047619047619045,BAIXO,4.083333333333333,1.0833333333333333,0.4166666666666667,0.0,-3.6666666666666665,-0.8979591836734694
CM000642,95.2,11,3.1733333333333333,BAIXO,16.0,12.0,8.0,0.0,-8.0,-0.5
CM000649,45.0,2,1.5,ALTO,0.0,1.0,0.0,0.0,0.0,0.0
CM000652,108.5,3,3.6166666666666667,BAIXO,10.0,10.0,0.0,0.0,-10.0,-1.0
CM000660,111.28571428571429,8,3.7095238095238097,BAIXO,36.166666666666664,5.5,8.333333333333334,0.0,-27.83333333333333,-0.7695852534562211
CM000661,119.25,9,3.975,BAIXO,62.833333333333336,58.333333333333336,91.66666666666667,0.0,28.833333333333336,0.45888594164456237
CM000662,74.5,15,2.4833333333333334,MEDIO,65.0,30.0,45.833333333333336,0.0,-19.166666666666664,-0.2948717948717948
