CODIGO_PRODUTO,2023,2024,2025,TARGET_2025,COMPROU_2023,COMPROU_2024,COMPROU_2025,ANOS_COM_COMPRA,CLASSE_PRODUTO,PREVISAO_MENSAL_2026,PREVISAO_ANUAL_2026,ORIGEM_PREVISAO
CM000012,0.0,0.0,1.25,1.25,0,0,1,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000023,0.0,0.0833333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000028,0.0833333333333333,0.0,0.0,0.0,1,0,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000034,0.0,0.0,3.333333333333333,3.333333333333333,0,0,1,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000037,0.1666666666666666,0.0,0.0,0.0,1,0,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000057,0.0,0.0,2.5,2.5,0,0,1,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000059,0.0,0.0,0.3333333333333333,0.3333333333333333,0,0,1,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000062,0.0,0.0,2.083333333333333,2.083333333333333,0,0,1,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000068,0.0,0.0,2.083333333333333,2.083333333333333,0,0,1,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000069,0.0,0.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000073,0.0,0.0,0.25,0.25,0,0,1,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000074,0.0,0.0,1.25,1.25,0,0,1,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000090,0.0,0.0,2.5,2.5,0,0,1,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000109,0.8333333333333334,0.0,0.0,0.0,1,0,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000120,0.8333333333333334,0.0,0.0,0.0,1,0,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000121,0.0,2.5,2.5,2.5,0,1,1,2,RECORRENTE,2.492033815907361,29.904405790888333,MODELO_ML
CM000158,0.0,1.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000185,0.0,0.0,1.5833333333333333,1.5833333333333333,0,0,1,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000253,0.0,0.1666666666666666,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000277,0.0,0.0,0.3333333333333333,0.3333333333333333,0,0,1,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000338,3.75,0.0,0.0,0.0,1,0,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000341,15.416666666666666,8.333333333333334,8.75,8.75,1,1,1,3,RECORRENTE,8.415759145131885,100.98910974158261,MODELO_ML
CM000343,0.4166666666666667,0.4166666666666667,0.0,0.0,1,1,0,2,RECORRENTE,0.0032667130685360072,0.039200556822432085,MODELO_ML
CM000345,0.0,0.0,0.3333333333333333,0.3333333333333333,0,0,1,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000350,1.3333333333333333,0.0,0.0,0.0,1,0,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000354,0.0,4.166666666666667,6.666666666666667,6.666666666666667,0,1,1,2,RECORRENTE,6.686668719076283,80.24002462891539,MODELO_ML
CM000355,6.333333333333333,8.333333333333334,17.5,17.5,1,1,1,3,RECORRENTE,17.358441435609855,208.30129722731826,MODELO_ML
CM000362,21.0,1.5,22.125,22.125,1,1,1,3,RECORRENTE,21.90764821879743,262.89177862556915,MODELO_ML
CM000376,4.166666666666667,3.333333333333333,2.4166666666666665,2.4166666666666665,1,1,1,3,RECORRENTE,2.426475017666729,29.11770021200075,MODELO_ML
CM000377,137.5,66.66666666666667,0.0,0.0,1,1,0,2,RECORRENTE,0.0048864587009211915,0.058637504411054295,MODELO_ML
CM000383,10.0,6.666666666666667,6.666666666666667,6.666666666666667,1,1,1,3,RECORRENTE,6.686041986439418,80.23250383727301,MODELO_ML
CM000384,0.0,0.0833333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000385,0.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,0,1,1,2,RECORRENTE,1.6665641715950243,19.99877005914029,MODELO_ML
CM000387,0.9166666666666666,0.8333333333333334,0.0,0.0,1,1,0,2,RECORRENTE,0.0032667130685360072,0.039200556822432085,MODELO_ML
CM000388,0.0,7.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000390,0.0,0.3333333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000391,0.0833333333333333,0.0,0.0,0.0,1,0,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000394,5.0,2.5,2.5,2.5,1,1,1,3,RECORRENTE,2.492033815907361,29.904405790888333,MODELO_ML
CM000395,0.0,0.1666666666666666,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000398,4.166666666666667,0.0,0.0,0.0,1,0,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000399,0.0,3.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000401,4.166666666666667,1.6666666666666667,0.0,0.0,1,1,0,2,RECORRENTE,0.0032667130685360072,0.039200556822432085,MODELO_ML
CM000403,1.0,0.0,0.0,0.0,1,0,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000405,1.5,0.0,0.4166666666666667,0.4166666666666667,1,0,1,2,RECORRENTE,0.4210002141094873,5.0520025693138475,MODELO_ML
CM000406,66.66666666666667,66.66666666666667,63.333333333333336,63.333333333333336,1,1,1,3,RECORRENTE,63.81061091276379,765.7273309531655,MODELO_ML
CM000415,0.0,0.0,8.333333333333334,8.333333333333334,0,0,1,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000418,1.0,0.0,2.5,2.5,1,0,1,2,RECORRENTE,2.4937942029652125,29.92553043558255,MODELO_ML
CM000419,0.0,1.0,1.0,1.0,0,1,1,2,RECORRENTE,1.0002738424367552,12.003286109241063,MODELO_ML
CM000420,0.9291666666666668,0.0,0.0,0.0,1,0,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000423,0.0,0.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000424,0.0,0.0,1.25,1.25,0,0,1,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000426,83.33333333333333,0.0,0.0,0.0,1,0,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000428,0.0,1.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000429,0.0,0.0,0.0416666666666666,0.0416666666666666,0,0,1,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000430,1.5,1.5,3.0,3.0,1,1,1,3,RECORRENTE,2.962080741316853,35.544968895802235,MODELO_ML
CM000431,0.0,16.666666666666668,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000436,0.0,2.833333333333333,0.5,0.5,0,1,1,2,RECORRENTE,0.5010259684836577,6.012311621803892,MODELO_ML
CM000437,20.0,22.0,17.5,17.5,1,1,1,3,RECORRENTE,17.357153357112086,208.28584028534505,MODELO_ML
CM000438,1.0,0.0,0.0,0.0,1,0,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000443,1.25,2.9166666666666665,2.5,2.5,1,1,1,3,RECORRENTE,2.492033815907361,29.904405790888333,MODELO_ML
CM000444,4.75,3.333333333333333,10.833333333333334,10.833333333333334,1,1,1,3,RECORRENTE,10.833378339913668,130.00054007896404,MODELO_ML
CM000478,0.0,2.5,6.25,6.25,0,1,1,2,RECORRENTE,6.303161419135726,75.63793702962872,MODELO_ML
CM000479,0.0,4.166666666666667,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000480,3.333333333333333,2.0,1.0,1.0,1,1,1,3,RECORRENTE,1.0002738424367552,12.003286109241063,MODELO_ML
CM000481,2.0,2.0,6.0,6.0,1,1,1,3,RECORRENTE,5.8792578077303475,70.55109369276417,MODELO_ML
CM000483,0.8333333333333334,1.25,0.0,0.0,1,1,0,2,RECORRENTE,0.0032667130685360072,0.039200556822432085,MODELO_ML
CM000516,1.6666666666666667,0.0,0.0,0.0,1,0,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000518,0.3333333333333333,0.0,0.0,0.0,1,0,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000527,0.5833333333333334,0.0,0.0,0.0,1,0,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000536,0.0,0.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000537,1.25,1.25,1.8333333333333333,1.8333333333333333,1,1,1,3,RECORRENTE,1.8376984559713736,22.05238147165648,MODELO_ML
CM000588,1.0,2.5,0.0,0.0,1,1,0,2,RECORRENTE,0.0032667130685360072,0.039200556822432085,MODELO_ML
CM000594,4.166666666666667,4.166666666666667,10.833333333333334,10.833333333333334,1,1,1,3,RECORRENTE,10.833378339913668,130.00054007896404,MODELO_ML
CM000603,0.0,0.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000607,0.0,0.0,1.6666666666666667,1.6666666666666667,0,0,1,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000608,14.0,2.0,0.0,0.0,1,1,0,2,RECORRENTE,0.0032667130685360072,0.039200556822432085,MODELO_ML
CM000609,0.0,4.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000610,0.0,0.0833333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000618,1.25,0.0,0.0,0.0,1,0,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000628,0.0,0.0,0.0833333333333333,0.0833333333333333,0,0,1,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000630,4.083333333333333,1.0833333333333333,0.4166666666666667,0.4166666666666667,1,1,1,3,RECORRENTE,0.4210002141094873,5.0520025693138475,MODELO_ML
CM000631,0.25,0.0,0.1666666666666666,0.1666666666666666,1,0,1,2,RECORRENTE,0.16818969645100687,2.0182763574120823,MODELO_ML
CM000636,1.0,0.0,0.0,0.0,1,0,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000638,0.0,0.0,4.166666666666667,4.166666666666667,0,0,1,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM000640,1.6666666666666667,1.6666666666666667,0.8333333333333334,0.8333333333333334,1,1,1,3,RECORRENTE,0.8339544829114067,10.00745379493688,MODELO_ML
CM000641,3.0,8.0,4.583333333333333,4.583333333333333,1,1,1,3,RECORRENTE,4.566580702061082,54.79896842473299,MODELO_ML
