RAZAO_FORNECEDOR,avg_lead_time,std_lead_time,recurrence,total_spent,total_products_value,total_discount,discount_rate,avg_item_price,score,rating,classificacao
1 - PETROLUBI COMERCIO DE LUBRIFICANTES LTDA,4.0,0.0,1,1899.0,1899.0,0.0,0.0,156.20825,0.39255813956949703,2,Ruim / Não recomendado
2E3P COMERCIAL LTDA,4.0,0.0,1,1367.8,1367.8,0.0,0.0,1367.8,0.39255813956949703,2,Ruim / Não recomendado
A A DISTRIBUIDORA DE LUBRIFICANTES LTDA - ME,1.2857142857142858,0.48795003647426666,7,23820.3,23760.3,0.0,0.0,63.4465,0.4057160815046377,4,Bom
A.CAMARGO E CIA LTDA,2.3,2.359378449224852,10,16869.08,16869.08,0.0,0.0,131.93416666666667,0.40788309235983844,4,Bom
A.L. DUARTE ARAMADOS ME,7.0,0.0,1,1290.0,1290.0,0.0,0.0,43.0,0.3869767442466198,1,Ruim / Não recomendado
ABECOM ROLAMENTOS E PRODUTOS DE BORRACHA LTDA,7.0,0.0,1,710.85,710.85,0.0,0.0,47.39,0.3869767442466198,1,Ruim / Não recomendado
ACCESS TECNOLOGIA DIGITAL LTDA ME,5.0,0.0,1,174.52,156.0,0.0,0.0,78.0,0.3906976744618713,2,Ruim / Não recomendado
ACOS YAMADA COMERCIO DE FERROS LTDA,1.0,0.0,1,366.0,366.0,11.9,0.032513661113350655,183.0,0.42573092859625267,5,Ótimo / Recomendado
ACOVERDE COMERCIO DE FERRO E ACO LTDA,0.0,0.0,1,430.0,430.0,0.0,0.0,430.0,0.4,3,Médio
ADALBERTO BENTO DA SILVA,0.09090909090909091,0.30151134457776363,11,43475.66,43475.66,0.0,0.0,3952.3327272727274,0.41334438026103953,5,Ótimo / Recomendado
ADAUTO MARGONATO - ME,4.0,0.0,1,2793.0,2652.8,0.0,0.0,20.483076923076926,0.39255813956949703,2,Ruim / Não recomendado
ADVANZ COMMERCE LTDA,38.0,0.0,1,1040.0,1040.0,0.0,0.0,104.0,0.32930232591022174,1,Ruim / Não recomendado
AEROFLEX INDUSTRIA DE AEROSOL LTDA,15.0,0.0,1,3766.76,3398.64,0.0,0.0,9.22,0.3720930233856139,1,Ruim / Não recomendado
AEV IMPORTS LTDA,4.0,0.0,1,469.9,469.9,0.0,0.0,469.9,0.39255813956949703,2,Ruim / Não recomendado
AFA DO BRASIL EIRELI,1.0,1.4142135623730951,2,296.49,296.19,0.0,0.0,59.149,0.39949088623763845,3,Médio
AG COMERCIO DE FERRAMANETAS E FERRAGENS,2.125,3.7036018504513506,16,15840.47,15840.47,0.0,0.0,978.510625,0.41631678182525805,5,Ótimo / Recomendado
AG COMERCIO DE FERRAMENTAS E FERRAGENS LTDA - ME,1.5,0.7071067811865476,2,950.0,950.0,0.0,0.0,139.25,0.39856065368382565,3,Médio
AGRO BOMBAS COMERCIO E INDUSTRIA LTDA ME,1.0,0.0,1,4147.2,4147.2,0.0,0.0,438.8,0.39813953489237425,3,Médio
