RAZAO_FORNECEDOR,CNPJ_FORNECEDOR,avg_lead_time,std_lead_time,recurrence,total_spent,total_products_value,total_discount,discount_rate,avg_item_price,rating,classificacao
A.CAMARGO E CIA LTDA,1561794000125,3.0,0.0,1,647400,647400,0.0,0.0,161.85,4,Bom
ACOS YAMADA COMERCIO DE FERROS LTDA,2625739000114,1.0,0.0,1,366000,366000,11900.0,0.032513661202096956,183.0,5,Ótimo / Recomendado
ADALBERTO BENTO DA SILVA,1917194000319,1.0,0.0,1,479000,479000,0.0,0.0,479.0,4,Bom
ADVANZ COMMERCE LTDA,52112452000169,38.0,0.0,1,1040000,1040000,0.0,0.0,104.0,3,Médio
AEROFLEX INDUSTRIA DE AEROSOL LTDA,7872967000536,15.0,0.0,1,3766760,3398640,0.0,0.0,9.22,3,Médio
AG COMERCIO DE FERRAMANETAS E FERRAGENS,12338171000104,2.125,3.7036018504513506,16,15840470,15840470,0.0,0.0,978.510625,5,Ótimo / Recomendado
AG COMERCIO DE FERRAMENTAS E FERRAGENS LTDA - ME,12338171000104,1.5,0.7071067811865476,2,950000,950000,0.0,0.0,139.25,4,Bom
AGROQUIMA PRODUTOS AGROPECUARIOS LTDA,1626951000486,1.0,0.0,1,300000,300000,0.0,0.0,3.0926666666666667,4,Bom
AGUILERA AUTOPECAS DE GOIAS LTDA,12145475000236,3.6666666666666665,3.7859388972001824,3,625680,625680,0.0,0.0,45.33428571428572,4,Bom
AGUIPEL PAPEIS E EMBALAGENS LTDA,40384908000160,6.0,0.0,1,7027610,6806400,0.0,0.0,7.09,3,Médio
ALEXANDRE DE BRITO MONTEIRO LUIZ 84320303172,22168130000170,0.3333333333333333,0.5163977794943223,6,2727000,2822000,95000.0,0.03366406803684137,5.545555555555556,5,Ótimo / Recomendado
ALVORADA COM PRODUTOS AGROPECUARIOS LTDA,1963040006051,0.0,0.0,1,1940000,1940000,0.0,0.0,97.0,4,Bom
AMAZONAS INDUSTRIA E COMERCIO LTDA,47959697000358,10.0,1.4142135623730951,2,6955000,6955000,0.0,0.0,30.875,3,Médio
AMEV IMPORTADORA E DISTRIBUIDORA LTDA,41747346000135,6.6875,2.441823089414956,16,42244170,41468070,0.0,0.0,48.45098360655738,5,Ótimo / Recomendado
AMEV IMPORTADORA E DISTRIBUIDORA LTDA,41747346000992,10.0,2.8284271247461903,2,1857060,1841080,0.0,0.0,25.554,3,Médio
ANTONIAZZI TELAS E SERVICO DE GUINDASTE,4029213000105,0.0,0.0,1,1200000,1300000,100000.0,0.07692307692301775,5.633333333333333,5,Ótimo / Recomendado
APEX TOOL GROUP IND. E COM. FERRAM. LTDA,43408590000107,6.25,1.707825127659933,4,13603950,12978340,0.0,0.0,274.986,4,Bom
ARCOM S.A,25769266000124,2.0,0.0,1,785200,776230,0.0,0.0,49.03266666666667,4,Bom
ARICOBE REPRESENTAÃOES LTDA,53770486000103,5.0,0.0,1,1000000,1250000,250000.0,0.19999999999984,125.0,4,Bom
ARVORETA MAQUINAS EIRELI-EPP,9253745000137,1.5,0.7071067811865476,2,10595960,10595960,0.0,0.0,210.42375,4,Bom
ASTRO SPORTS,0,0.0,0.0,1,375000,375000,0.0,0.0,2.5,4,Bom
ATIVA FAST COMERCIO DE ELETROELETRONIC,5025035000107,7.0,0.0,1,509970,509970,0.0,0.0,169.99,3,Médio
AUTO LATAS PECAS E ACESSORIOS,25300893000111,3.0,0.0,1,365000,365000,0.0,0.0,365.0,4,Bom
BARIFLEX INDUSTRIA E COMERCIO LTDA,5935727000184,10.4,6.4265076052238514,5,47558550,46061500,0.0,0.0,4.330882352941177,3,Médio
BCR COMERCIO E INDUSTRIA SA,23797376000174,5.875,1.9621416870348585,16,46276670,46081980,0.0,0.0,35.23801785714286,5,Ótimo / Recomendado
BELMICRO TECNOLOGIA S/A,71052559000537,12.0,0.0,1,827970,777440,0.0,0.0,777.437,3,Médio
BERLINER DO BRASIL MOTORES LTDA,22662330000185,10.0,3.559026084010437,4,55349670,53196550,0.0,0.0,441.5422857142857,3,Médio
